	Text	Emotion
108	im not scared at all anymore im fine i feel terrific about the surgery	2
109	i feel is still really low in my abdomen	3
110	i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever	2
111	i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity	2
112	i feel like ive had to fake my feelings a lot more often then i would have liked to	3
113	i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work	3
114	i have been feeling so overwhelmed lately	1
115	i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them	0
116	i feel so honoured to have hosted this series to have such talented a	2
117	i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog	2
118	i feel honored to be with many wonderful artists and to display my work for the public to see	2
119	im not only thankful that everything seems to be working out as i wrap week at my new job but also feeling pretty lucky to have the people we do in our lives	2
120	i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible	0
121	i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me	3
122	i found myself in the novel position of feeling a bit uncertain about the stock market rally	1
123	i am feeling super excited as the weeks seem to be flying by and we are getting closer and closer to our due date	2
124	i feel really pathetic confronted with some	3
125	i feel there are dangerous games or activities	0
126	i am not working out the amount i would like to i feel like my lifestyle change has been successful so far	2
127	i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions	2
128	i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us	0
129	i really like how the special edition really does feel special with songs on it	2
130	i feel really lucky to have found you as a resource and have always felt the answers i needed were there for the asking	2
131	i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness	1
132	i feel tortured and tragic enough as it is without having any importance or sparkle	0
133	i feel selfish thinking this way but i feel so lonely at times	0
134	i feel lonely at work im not a social bird as i usually am when i was in school	3
135	i feel intimidated by the great women in my family tree	1
136	i feel like i have been rather unkind to it	0
137	i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath	0
138	i checked on you was a long time ago i can say you were happy way back then feeling contented with everyone and everything around you	2
139	im afraid im in an environment that makes me feel more relaxed cause	2
140	i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays	2
141	i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation	1
142	ive had too much training in grammar and language and reading something written like this kind of feels like im being assaulted	3
143	i is feeling insulted because everyone is comparing sneha with her	0
144	i picked up feeling a little apprehensive	1
145	ive been feeling very numb	3
146	im feeling every bit the spiteful vindictive bitch i can be at times	0
147	i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad	0
148	i didnt tell you because i didnt want you to feel afraid	1
149	i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid	1
150	i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous	3
151	i admire athleticism i feel like i would be more entertained if i got to watch severely out of shape people participate in olympic events	2
152	i truly feel what you all contribute to the blog world especially with regard to educating writers is so valuable	2
153	i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby	1
154	i feel so honored that students come to my classes	2
155	i had horrible anxiety dreams every night last week and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters	1
156	im feeling indecisive and it scares me	1
157	i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier	1
158	i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run	0
159	i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress	2
160	i really am feeling horribly irritable and a little bit depressed	0
161	i simply said how sorry i am and just got out from her car and got into my house feeling restless	1
162	ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that	1
163	i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid	1
164	im feeling rushed and like i should have planned certain things this summer that i can no longer do	0
165	i try to breathe in when i feel frustrated and breathe out the calm that i desire	0
166	i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business	0
167	i refers of course though i cant help feeling somehow ironically in retrospect to loudons son with kate mcgarrigle the rather talented himself rufus wainwright	2
168	i feel sorry for rafael bosch	3
169	i am feeling miserable and sick but hoping that with the amount of sleep i am getting i havent had much choice i have had zero energy cold meds vitamins and lots of fluids i have high hopes to feel better tomorrow	3
170	i feel troubled because of the ongoing relocation of our front door	3
171	im feeling a combination of terrified and relieved	1
172	i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed	1
173	i feel so shaken and guilty for not being a better mother and shielding my offspring from this health problem	1
174	i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me	0
175	i feel like i was a rude ass hole at hookah	0
176	i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed	0
177	i feel inspired and eager to press on when the sun shines	2
178	i want to say how i want to feel just come out so bitter and angry	0
179	im feeling quite pleased this week	2
180	i still feel shaky is because in the worst hit areas the damage and destruction is so complete	1
181	i am feeling hopeful and looking forward once again	2
182	i feel uncertain and uneasy	1
183	i feel nervous about going back to america not knowing what to expect the transition to be like	1
184	i started to feel kind of skeptical about this myself	1
185	i feel it gives even more period feel and detail than sharpe and is certainly good enough to read cover to cover	2
186	i learned the hard way and after being here for about three hours you ll feel like you ve been here for months from all the friendly people you ll stop and talk to	2
187	i feel that something wonderful is going to happen	2
188	i am going to assume a moral obligation to find a way to make sure i feel pretty damn rich every day	2
189	i sense this is wat has let you feeling unsure	1
190	i am feeling very apprehensive about the future at the moment	1
191	i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house	1
192	im so overwhelmed with feeling blessed by you i have to pray the fears of this being the last time i say happy birthday to you	2
193	i feel very popular and also a little pressure to keep it up which is exactly what i need	2
194	i begin to have these doubts my stomach clenches my heart races and i feel fearful	1
195	i feel like i have been really cranky at school these days	0
196	i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain	2
197	i feel glad to have my little blog to share with you the dangers i see on the path ahead	2
198	i say that i feel like im being tortured by him	0
199	im feeling a bit cranky today	0
200	i had then these were truly terrifying and still feel shaken and uneasy because of them	1
201	i want others to be happy but does that mean i step back yet again it feels like and allow them to be happy because they deserve it or do they even deserve it or do i	2
202	i was feeling pretty cranky this morning and stopping in here really made me feel a lot better	0
203	i didnt feel the cold up there because we had a fire every night	0
204	i folk if im feeling sociable	2
205	i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad	0
206	i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore	0
207	i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts	0
208	i put my leg around yours and wrap my arms under yours for me to feel safe again	2
209	im proud of but having crafted something that other people care about even just enough to click through to makes me feel so wonderful	2
210	i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing	3
211	i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there	0
212	i feel really tranquil where i am right now	2
213	i was on my own tearful and feeling unloved even though i know that i am	3
214	i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought	0
215	i couldn t turn my head away even when i feel frightened	1
216	i feel the most uncertain about the project	1
217	i feel i am completely dissatisfied with the whole world and all human characters are inconsistent	0
218	im feeling particularly dangerous a chocolate cookie	0
219	im feeling ok and always has a hand on me or sits very close	2
220	i feel apprehensive about the ride ahead	1
221	i feel bothered	0
222	i do not feel insecure or unsafe	1
223	i cant imagine the agony those folks feel waiting for news about their own sentimental things	3
224	i feel just insulted	0
225	i use an elevated lexicon to feel more intelligent	2
226	i feel agitated and empty and missing something	0
227	i would feel joyful	2
228	i am feeling deeply offended big hurt feelings in fact	0
229	i do not feel overwhelmed nor rushed	1
230	i kinda did steal joshua s customer i feel amused	2
231	im feeling low and forgotten	3
232	i feel like this shows the change that many countries have taken and that many countries are on the way to making this decision that includes supporting and increasing women in all areas of life	2
233	id feel better	2
234	i feel like offended with such question	0
235	i probably love a handful of friends too but i always feel a bit strange when describing this as love	1
236	i feel hated and not wanted but just be an ignored	3
237	i feel pretty jolly	2
238	i feel kind of alone and helpless in	3
239	i feel totally ignored and excluded	3
240	im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid	0
241	i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something	3
242	i have something to tell you girls i finally feel brave enough to share the news	2
243	i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out	0
244	i don t know why it is that i feel awkwardly hesitant to return to melbourne	1
245	i should have been depressed but i was actually feeling inspired	2
246	i get home i laze around in my pajamas feeling grouchy	0
247	i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now	3
248	i am thankful for feeling useful	2
249	i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of	3
250	i cant help feeling mad at this man	0
251	i told im i didnt want him to feel uncomfortable	1
252	i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted	3
253	i feel like im a shy enormous pink flamingo man	1
254	im listening to right now because i feel like i need it and i want to share it with you little ones despite my convinced atheism somehow it never fails to make me feel better	2
255	i feel confused too	1
256	i zoom into those difficulties into feeling like having to give up everything and feeling more then helpless alone in a desert cast out by the ways voices and actions of others that is another story when i zoom into it i also temporarily loose the view of the full picture	3
257	i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me	0
258	i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores	3
259	i honestly feel kind of embarrassed and a bit guilty	3
260	i feel like a failure of a parent which add that to the emotional rollercoaster of having to have an unplanned c section and well some days i feel like i have just failed from the beginning	3
261	i need to feel assured i need to feel secure	2
262	i can never seem to get on the good foot and i feel so crappy	3
263	i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do	3
264	id feel completely lost without him	3
265	i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end	3
266	i feel so uncomfortable about the word hero	1
267	i am feeling very unsure of my future	1
268	i really remember is feeling wonderful in the oatmeal bath	2
269	i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience	2
270	i have one of the guest rooms in our current house that was supposed to be my craft office closet but i honestly never use it since it is up stairs in a cold or hot room that i feel i can t get messy	3
271	im just feeling very uncertain and	1
272	im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain	1
273	i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks	2
274	i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch	1
275	i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost	3
276	i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them	3
277	i feel suspicious if there is no one outside like the rapture has happened or something	1
278	i did manage two short runs and a walk but today im back to feeling just shy of awful	1
279	i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai	2
280	i want her to still feel appreciative of things i do for her	2
281	i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis	2
282	i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far	3
283	i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there	1
284	i feel i am shy and i am afraid of keeping my point of view	1
285	i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine	3
286	im not going to lie i feel a little insulted	0
287	i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year	2
288	i email authors about interviews i feel a little intimidated	1
289	i feel shafted or greedy	0
290	i stop feeling so depressed and	3
291	i feel honored to be witness to another s process	2
292	i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help	1
293	i feel like this concert was much more successful than the previous one	2
294	i also feel so awful feeling this way	3
295	i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description	3
296	i feel completely drained physically and mentally worn out	3
297	im feeling so broke right now but i loved every minute of it	3
298	i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear	3
299	i feel like i ve regained another vital part of my life which is living	2
300	i pray that each of you who is hurting or feeling afraid tonight finds peace and soon	1
301	i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love	3
302	im feeling awfully spiteful right now	0
303	i feel so highly intimidated that i get flustered and cant form my words not even in english with her	1
304	i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day	2
305	i prayed to trust god with my desire to feel a divine sense of home	2
306	i found is that feeling worthless is a waste of time	3
307	i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach	2
308	i was feeling a little like a cold was coming on	0
309	i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating	3
310	i feel like the character precious	2
311	i feel tortured by something	0
312	i had coped for barely twenty four hours before i was feeling wrung out and distraught	1
313	i feel like im being a terrible person and that hes going to hate me for thinking these things	3
314	i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better	0
315	i feel more and more stressed	0
316	i fully enjoy music when i feel afraid using headphones	1
317	i feel like ending my life like some song from damaged or something	3
318	i feel totally rejected	3
319	i was to her in fact so i m taking that as she feels regretful for what she has done	3
320	i feel embarrassed by it	3
321	i feel this violence is petty and impractical	0
322	i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc	1
323	i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing	1
324	i feel is a dumb plot idea	3
325	im doing things that make me feel brave and strong i have a a href http derfwadmanor	2
326	i just love the colors and the way the yarns feel i also love supporting small businesses and it allows me to provide quality products in my own shop	2
327	i remember feeling more amused than sensing that i was in any real danger however i must have been experiencing a little bit of shock	2
328	i feel greedy but too idealistic what is it to expect she would want you to talk to me your proported best friend that she might be happy you have me	0
329	im feeling a little gun shy about this	1
330	i feel a bit stressed so i get up and take two rescue tablets	3
331	i feel that now i am a lot less irritable than i was before	0
332	i feel festive	2
333	i may not feel hopeful and many days i do not but these truths i must call to mind the lord is my portion therefore i will hope in him	2
334	i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing	1
335	im feeling confused but ill keep trudging through	1
336	this happened when i could not get into the school i had initially wanted	0
337	i am feeling generous so you can pick any reason you like but make sure you take your wise mothers advice so i dont feel the need to drag all this to court	2
338	i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry	0
339	i understand the logic of having a student congress but i cant help but feel thats its really really really boring	3
340	im waiting in my paper gown and plastic slippers for them to call me feeling very apprehensive but a bit dopey in the head due to lack of food	1
341	i notice a lump or feel pain in any part of my body i will somehow become fearful or scared	1
342	i feel without being disturbed by it	3
343	id feel like a heartless bitch if i didnt share these with anybody	0
344	i am beginning to feel startled by how little of last week i remember	1
345	i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap	0
346	i need to tell someone how i feel you are gorgeous	2
347	i feel rude for ignoring your plea for help and its all your fault	0
348	i feel like im so enraged	0
349	i am writing this i remember between feeling assured i wasnt dead and checking the window that me and my mom started fighting	2
350	i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it	0
351	i feel as though you are determined to annoy me you know i dont want you listening to the radio	2
352	i feel like i ll never be as graceful an	2
353	im feeling all triumphant you may high five me if you choose mind you ill laugh at you but	2
354	i guess the trick is i need to go in strong and get what i want and not feel bashful over it	1
355	i was a bit too nervous to focus on the faces and the feeling was not unpleasant i wanted to put in a joke to start with especially since it involved the key note speaker and i thought it was funny	3
356	i feel so bitchy suddenly	0
357	i feel defective or something	3
358	i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off	0
359	i feel most apprehensive about each week probably because it is the one most likely to unavoidably show me my shortcomings as a runner	1
360	i was feeling melancholy on a cloudy rainy lonely easter sunday	3
361	i now feel like i look really ugly some people think i look retarted	3
362	i go to little tiny andover and take a walk at night i feel absolutely terrified	1
363	i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes	1
364	i love that she doesnt always feel brave	2
365	i feel grouchy or short tempered then the guilt kicks in	0
366	i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try	1
367	i feel highly burdened and incapacitated by my stupid flaring legs	3
368	i feel fabulous	2
369	i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter	1
370	i definitely recommend this for anyone who is feeling depressed or anxious	3
371	when my beloved grandfather died	3
372	i feel angered by this	0
373	i know someone who needs to feel respected above all else who maybe deep down worries hes not worthy of that respect because hes insecure about where he comes from	2
374	i already feel myself becoming more casual in my fandom	2
375	i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations	2
376	im a firm believer that nothing makes a woman feel much more terrific than a great trip to the salon to lift her spirits a bit	2
377	i always feel invigorated while listening to her that we can win this war against predatory school deform	2
378	ive been feeling reluctant intermittent and lacklustre to pen my thoughts down	1
379	i feel like im a violent mother	0
380	i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being	2
381	i were to ever get married i d have everything ready to offer to him because i ve got it together and when i do go out to clubs even the perfect good looking guys feel intimated after talking to me about my clever self	2
382	im feeling adventurous and my laundry hamper	2
383	i still pretty much feel ashamed and i m certain i m disappointed in my weaknesses i know for fact i am angry and upset and that s just for one situation	3
384	i proclaim to have lost a bit of my sanity and feel so shaky	1
385	i was told to do it continues and the fact i feel fear frightened correction terrified of what is next	1
386	i feel uncomfortable with the fact i am so powerless at the moment	1
387	i want to feel like i m reading something worthwhile	2
388	i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable	1
389	i know they mean no harm but i cant help but feel offended	0
390	im feeling the need to mellow out i find something on the ipod that suits me or when im ready to pump it up ive always got a go to tune or two to get me reved up	2
391	i feel like i have been emotionally beaten to a pulp	3
392	i go to my son s conference next week and i am already feeling nervous and apprehensive	1
393	i was pregnant with my first i remember thinking a lot that i didn t have to feel so sentimental about the time passing so quickly because there would be another pregnancy yes i am one of those crazy people that loves being pregnant	3
394	i feel uncertain and not entirely safe	1
395	im feeling brave this would be nice with black tips	2
396	i know thats not true but thats how i feel i get scared	1
397	i feel that i can answer in a completely un sarcastic way	0
398	i feel so cute	2
399	i wish we could have a huge collective book club about it because i think these conversations are critical during a time when people are feeling increasingly fearful unsettled and disconnected	1
400	i have said this before being a mom has made me feel more vulnerable than i have ever felt before	1
401	i feel valuable a href http idreamculture	2
402	i love my job and know that the surgeries were doing are emergencies i always feel resentful especially when it is am and i was sleeping	0
403	my cat died from an illness it had been with us for years it was a lovely cat it had been ill for one or two weeks and the veterinary surgeon had told us that it was dying	3
404	i could say that will make anyone feel better than actually reaching their goal themselves	2
405	i almost fall asleep but i feel so awkward sleeping beside her	3
406	i feel so enraged that i want to punch him but i don t because he s only years old	0
407	i feel all submissive	3
408	i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s	2
409	i hate to have to clear my voice i hate to stammer i hate to feel the way i do now humiliated and frightened to the bones what do you want of me	3
410	i grappled with was guilt that relatives and friends who usually communicate with me there would feel like i was ignoring them and i felt selfish still posting my burlesque and blog updates there without liking their photos and links	0
