	Test text	Test emotions	Predicted emotions
197	i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought	anger	anger
198	Lenin was furious when he learned about	anger	anger
199	i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process	anger	anger
200	i always feel really confident of my life and my choices when i go home	happy	happy
201	i put weight on it with my leg bent like when i get out of the car i feel a dull pain in my knee	sadness	sadness
202	i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end	happy	happy
203	i didnt feel very accepted by most of my family members so my relationship with my church family made up for that	happy	happy
204	i feel like im half a person at the moment because i cant write and feel assured that what i do write will be there when i get the office program	happy	happy
205	i can feel this really effecting my attitude toward her i feel bitter and angry	anger	anger
206	i did not picture myself feeling shy in this class when i signed up for it	fear	fear
207	i could at least count it i didnt feel as frantic while the group followed the bird as it moved north through the trees	fear	fear
208	i don t feel dissatisfied just distracted from my life	anger	anger
209	Untidy work led to rows , rows led to confrontation , confrontation led to the boy being soundly thrashed by his exasperated mot	anger	anger
210	i can see them or feel free to post photos to the a href http facebook	happy	happy
211	i watch hgtv and i feel like im not that talented	happy	happy
212	i show my partner how i feel i m afraid s he will not feel the same about me	fear	fear
213	the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course	anger	anger
214	im not being fair to xia by doing it this way if he feels frightened by the work i do it that his fault	fear	fear
215	i currently feel like crap but have to at least show my face at work lest they get suspicious at my ringing in sick the day after my holidays	fear	fear
216	i was and championed me to feel and be fearless	happy	happy
217	im currently getting out a bit from reality exams amp works and feeling glad ever since theres only more subjects left	happy	happy
218	im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me	sadness	sadness
219	i feel really cold and miserable but i try to motivate others who are finding the walk as trying as i am	anger	anger
220	i am by no means very claustrophobic when crunched up like that i can t help but feel a little agitated	fear	fear
221	i feel so dull when you re not around	sadness	sadness
222	i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way	sadness	sadness
223	i am energetically pursuing my goals or i feel agitated and unable to sit still	anger	fear
224	i can see a lot of strain on people i can tell they are feeling pretty shitty or not what they are supposed to be pretending	sadness	sadness
225	i feel like my go to emotion is angry	anger	anger
226	i had encountered before and as much as these dreams thrilled me they left me feeling even more terrified	fear	fear
227	i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc	anger	anger
228	im feeling quite cold actually	anger	anger
229	i am feeling unsure about my words but it also means i am writing which is good	fear	fear
230	i am sorry if you feel offended by my humorous statement my friend	anger	anger
231	i feel sorry for him because his dad is an idiot and a sucker for consumer products	sadness	sadness
232	i haven t yet experienced the totality of this is that i am getting to use my gifts again without feeling like someone is threatened jealous or competing against me	fear	fear
233	i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track	anger	anger
234	i feel really greedy wanting all this stuff but my mom asked me to make a list so	anger	anger
235	i feel i was intimidated by the college and people at home	fear	fear
236	i intend to have them develop feelings for one another albeit with riku being stubborn about it as opposed to an open book due to plot ish issues	anger	anger
237	i am feeling somewhat satisfied with myself for finally finishing an apron that i started making for my sisters birthday months ago	happy	happy
238	i still feel like i was somehow one of the family members horribly wronged by the tragic events that have transpired today	anger	anger
239	im sad i feel that every heartbroken song was written just for me	sadness	sadness
240	i feel pretty terrified immature and not ready	fear	fear
241	i feel my foot is aching my thigh is numb from the knee to the hip although i haven t gained weight i feel like it is shifting to my middle and i feel like i m a little trapped in this crumbling body	sadness	sadness
242	i feel so cool like ice t huhwe neun gatda beoryeo priceless sesang ye ban bani namja neottaemune na ulji anha gucha hage neoreul jabgeo na mae dallil ireun jeoldae no	happy	happy
243	i will start to feel resentful	anger	anger
244	i already feel him kicking my ribs making it harder to breath sometimes and taking over precious space where my stomach once was	happy	happy
245	i didnt know whether or not to feel flattered or some sort of disgusted	anger	anger
246	i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone	anger	anger
247	i feel like i have to shy away from triggering some stereotype of a person who will scream and break things because they didnt get to eat their favorite kind of sandwich	fear	fear
248	finding out that i am not an as able student as i thought	fear	happy
249	i was feeling shaken walking along the streets and less able to concentrate on not having an accident while simultaneously worrying about having one due to not concentrating	fear	fear
250	i think about it i feel a rushed mixture of excitement and nerves	anger	anger
251	i was already packed didn t want to wait around for her to talk to her friend was feeling irritable tired and eventually gave up on trying to go in the first place made me feel more down about my situation	anger	anger
252	i also feel vulnerable being left on the bed in virtual silence	fear	fear
253	i stray i feel the pains of loneliness and discontent	sadness	sadness
254	i feel that noleans probably lacks a lot of the diy art and music stuff that id go sorta neurotic wihtout	fear	fear
255	i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules	fear	fear
256	i have a hunch that in the coming months the republicans will try to tap into this overall feeling of discontent	sadness	sadness
257	i feel a bit jaded and weary of the world	sadness	sadness
258	i always flashback to her talking about feeling burdened appearing on a radio show alone on lee jaeryong jungeuns good morning	sadness	sadness
259	i was feeling hopeless than desperate having been suffering from acid reflux for weeks	sadness	sadness
260	i want to feel useful i guess	happy	happy
261	i woke up feeling distraught	fear	fear
262	i feel the cold terrribly	anger	anger
263	i feel tortured being away from my baby	anger	anger
264	i was feeling very stressed with all that i had to get accomplished in the little amount of time that i had	anger	anger
265	i would have to get off and walk the hill which always made me feel terrible	sadness	sadness
266	i feel too greedy to actually ask them	anger	anger
267	i feel benevolent enough to buy them some peanuts and other treats	happy	happy
268	i feel so lucky to be his wife and hope that i have the opportunity to remind him every day	happy	happy
269	i feel the cold mostly in my arms and torso	anger	anger
270	i read promotional emails and advertisements or listen to television commercials and dialogue in shows and movies or hear people around me in everyday life use commands such as the following examples i feel dismayed for them	sadness	sadness
271	i feel a cool breeze and think it might be cold but then i realize it is still degrees and humid outside	happy	happy
272	i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am	happy	happy
273	i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is	fear	fear
274	i no longer feel timid or insecure when i walked	fear	fear
275	i don t feel victimized	sadness	sadness
276	Jenny sat with a contented smile on her face during this interchange while mother repressed her irritation and anger with her husband 's rema	happy	sadness
277	i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc	fear	fear
278	i feel was where i fucked up a bit and something i wish i could change	anger	anger
279	i am feeling positive about it	happy	happy
280	i feel its gonna start aching again when the rainy season comes again next year	sadness	sadness
281	i am here again feeling confused of what is happening around me looking for a plane to grasp a reality to settle that feels like it is my own	fear	fear
282	i feel like the only intelligent person here right now	happy	happy
283	i just want to go out there and uplift some people and let people walk away feeling like they saw something and are excited	happy	happy
284	i feel last time ure the one that feel paranoid	fear	fear
285	im feeling so unsure when things are pressing in about me comes a gentle voice so still	fear	fear
286	i feel intimidated by other girls acne getting rid of pimples	fear	fear
287	i feel pissed off and angry	anger	anger
288	i personally feel that every rapist should be punished rigorously if not hanged	sadness	sadness
289	i feel them at all and cannot just be content becoming a widow nun derby girl or something is what they become for me in my head	happy	happy
290	i know how that feels weird right	fear	fear
291	i ask you how can they feel virtuous if any members of their preferred victim groups learn to take responsibility for their own lives	happy	happy
292	i still feel innocent and small	happy	happy
293	i believe my ground game is where i feel most superior	happy	happy
294	i miss feeling like i hated you	anger	anger
295	i feel pretty mellow so far about whatever healing wounding process may be getting underway	happy	happy
296	After a day or two , the owner became irked , and went to the airport to inspect his pl	anger	anger
297	i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god	fear	fear
298	i feel rebellious and think let them do so	anger	anger
299	i feel like that nurse reluctant to know where to start but optimistic that we can do one thing to help	fear	fear
300	i used to feel guilty about the large portion of my time and income devoted to various craft hobbies but eventually i realised that i am stress busting and its cheaper than therapy	sadness	sadness
301	i give you some tips on overcoming the feelings of being overwhelmed	fear	fear
302	i feel triumphant and such	happy	happy
303	The bull tossed the effigy out of their hands and became very infuriate	anger	sadness
304	i have been feeling so strange and frankly bad about how not sad i am	fear	fear
305	i feel gracious for the opportunity to make a difference	happy	happy
306	i stood for a few minutes more feeling a strange heavy numbness settling over me even as my heart beat faster then slowly sat down again thinking	fear	fear
307	i once told my friends that i feel like doing some sort of backpacking but instead of supporting me with this idea all i got from them were raised eye brows and some sarcastic remarks	happy	anger
308	i feel bitchy but not defeated yet	anger	anger
309	i love earning money and having it but because i grew up in a lower middle class family i feel very appreciative of the money that i do have	happy	happy
310	i top out the climb feeling invigorated	happy	happy
311	i am not thinking about a certain person before i sleep i end up having strange dreams about him and when i wake up after those dreams i feel shaken and stunned	fear	fear
312	i said im only pages and this book feels so tortured and you can really feel the pain of the characters	fear	anger
313	i feel pressured to write because i pressure myself to write or at least that it s just ingrained to do so	fear	fear
314	i grew up i didn t feel like doing that for i knew that my parents would be disturbed	sadness	sadness
315	i feel so thankful for all that ive experienced and the company in which i embarked it on	happy	happy
316	i eat and feel satisfied	happy	happy
317	i really don t feel all that bothered by the north london derby	anger	anger
318	i think its because i feel listless	sadness	sadness
319	i actually feel like i have been beaten up	sadness	sadness
320	ill mention i listed because they make also some kind feelings like those five or i only like them and ive good memories from those songs	happy	sadness
321	ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range	anger	anger
322	i am feeling so emotional about your brothers arrival	sadness	sadness
323	im a little worried because i feel the protagonist may not be likeable enough to the average person based on my focus group of one	happy	sadness
324	i feel like its vital to keep this someday list active	happy	happy
325	i tend to avoid the news because i often feel like it doesn t add value to my life and only makes me fearful anxious and slightly paranoid	fear	fear
326	i suppose i feel too trusting sometimes	happy	happy
327	id been feeling so smug about not catching what had been going around	happy	happy
328	i feel an unpleasant drop in my stomach as the elevator doors open at my floor	sadness	sadness
329	i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend	anger	anger
330	i sit here tonight i m pensive tense and feeling a little fearful	fear	fear
331	i didnt feel like suffering through a sleepless night especially with my terrible allergies amp amp fever	sadness	sadness
332	i can eat but allow myself one naughty item of my choice to avoid feeling deprived	sadness	sadness
333	i feel kinda bitchy and cranky i need to try and take a nap	anger	anger
334	i can only feel sorry for us that the relationship didnt work out	sadness	sadness
335	i think i want to go to an aa meeting just to hear the stories but it feels rude	anger	anger
336	To her annoyance a warm blush was steadily creeping into her che	anger	anger
337	i said what i felt needed to be said and in addition to that i was feeling bitchy	anger	anger
338	stranded in the north of fraser island with a submerged wd hire vehicle	fear	sadness
339	i love more than anyone made me feel like i hated them sooo much but i knew i didnt which really hurt i ened up being a dick and crying for like an hour in front of people which was even more stupid	sadness	sadness
340	The Department of Health is aware of the disquiet among dentis	fear	fear
341	i feel like i m always beaten up by some sort of evil people	sadness	sadness
342	i might i could not stress to her how important it is to me not to expose my friends to a situation where they may have cause to feel unwelcome or uncomfortable	sadness	sadness
343	i knew there were a lot of hormonal things going on in my body too but the uncontrollable crying was still from feeling so uncertain about everything	fear	fear
344	i could have possibly forgotten that would make me feel as idiotic as last years whole forgot to pack shirts thing did	sadness	sadness
345	i feel like im the mad hatter rather than alice	anger	anger
346	i am just feeling grumpy and sore	anger	anger
347	i receive the good news in joy like the magi or do i feel threatened by gods message like herod	fear	fear
348	im feeling gloomy this weekend	sadness	sadness
349	im still contagious and while i am desperately wanting to cuddle him id feel rotten if i let my selfish physical wants get him sick	sadness	anger
350	i left the talk feeling nervous that we had taken the brief in the wrong sense but we were in a situation where we had already invested to much time into the project that there was no going back	fear	fear
351	"` No , "" she replied briefly , feeling more and more resent"	anger	happy
352	i feel like the awkward outsider and start to feel homesick	sadness	sadness
353	ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that	anger	anger
354	i feel greedy with my thoughts and it is a relief to let them linger	anger	anger
355	Realising that something had gone wrong , the alarmed miner was making his way out of the p	fear	fear
356	i am feeling so proud that philippines is ought to called a emerging asian tiger this is how the prime minister of canada describe of the economy of the philippines it is definitely rising	happy	happy
357	His poor scrawny hands grip the arms of a wheelchair pushed by his adoring wife with the now familiar expression of a too-bright smile and devastated eye	sadness	sadness
358	i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity	fear	fear
